EPO;blue;blup
C495;0;0,009046973
ELAX_100;-0,031277077;0,006715265
ELAX_101;-0,472433726;-0,050186757
ELAX_104;-0,077327275;0,010220533
ELAX_114;-0,575788059;-0,049573985
ELAX_117;-0,560112332;-0,048964024
ELAX_118;-0,557520755;-0,054083837
ELAX_120;-0,058509033;0,011975445
ELAX_122;-0,056648778;0,015708048
ELAX_124;-0,597032451;-0,053383575
ELAX_13;-0,538696562;-0,050927517
ELAX_130;-0,533239904;-0,04876268
ELAX_131;0,034709313;0,012773974
ELAX_143;-0,613846827;-0,057198364
ELAX_145;0,406022975;0,072639975
ELAX_146;0,420472784;0,074405681
ELAX_148;0,440809085;0,068401958
ELAX_153;0,433347445;0,076673202
ELAX_16;-0,071960157;0,009946426
ELAX_165;-0,622981551;-0,060121153
ELAX_176;0,475832137;0,070135766
ELAX_179;-0,086724715;0,005450458
ELAX_182;0,374052084;0,070112265
ELAX_184;-0,047277854;0,01435903
ELAX_185;0,001199302;0,014309016
ELAX_187;-0,049623672;0,013065595
ELAX_188;-0,503248464;-0,051623283
ELAX_192;-0,52714335;-0,05859512
ELAX_194;-0,592783558;-0,059018011
ELAX_195;0,441264365;0,070065913
ELAX_197;0,436039575;0,072808005
ELAX_198;-0,55134323;-0,029336244
ELAX_199;-0,138886106;0,006753727
ELAX_201;-0,52679662;-0,052486041
ELAX_202;0,430166369;0,073674767
ELAX_207;-0,581906789;-0,05619653
ELAX_212;-0,076919487;0,006392562
ELAX_222;-0,08572551;0,003954018
ELAX_227;0,427034731;0,069883416
ELAX_229;0,4977194;0,079352691
ELAX_230;-0,612885324;-0,05562604
ELAX_233;0,444795206;0,076791376
ELAX_235;-0,476665853;-0,048973931
ELAX_237;-0,650823213;-0,056574137
ELAX_239;-0,078818527;0,010316451
ELAX_240;-0,544467895;-0,052260029
ELAX_241;-0,059065239;0,012084078
ELAX_243;-0,512715597;-0,048007416
ELAX_244;-0,417071087;-0,048320277
ELAX_250;-0,056619952;0,006839432
ELAX_251;0,443053682;0,072163849
ELAX_252;-0,522126881;-0,050495285
ELAX_261;-0,10654937;0,00625903
ELAX_262;-0,069527125;0,002864361
ELAX_265;-0,049605274;0,01306544
ELAX_268;-0,554752308;-0,053662653
ELAX_27;0,02177678;0,015057217
ELAX_278;-0,064526894;0,006409265
ELAX_279;-0,099711214;0,006197025
ELAX_28;-0,623895012;-0,054354273
ELAX_288;0,427524021;0,072800401
