EPO;blup;blue
C495;-0,122887791;0
ELAX_100;-0,201812359;0,001026161
ELAX_101;-0,004097993;0,711346605
ELAX_104;0,497747393;2,712698343
ELAX_114;-0,371180505;-0,931834814
ELAX_117;-0,255987619;-0,461245443
ELAX_118;-0,672377156;-1,503719292
ELAX_120;-0,611452267;-1,468679635
ELAX_122;-0,212824284;-0,735929082
ELAX_124;-0,259794404;0,408350517
ELAX_13;-0,268973304;0,11263621
ELAX_130;0,826838788;2,531767072
ELAX_131;-0,051710112;0,289696307
ELAX_143;-0,619238936;-1,592082208
ELAX_145;-0,421985783;-1,016110455
ELAX_146;-0,417967284;-0,745557354
ELAX_148;-0,176728262;-0,113997681
ELAX_153;-0,27567007;0,41182256
ELAX_16;-0,479931176;-0,348628315
ELAX_165;-0,045674681;0,390647637
ELAX_176;-0,213008722;0,03992535
ELAX_179;0,12755556;0,799582452
ELAX_182;0,073261533;0,755511323
ELAX_184;-0,211908145;-0,469254509
ELAX_185;-0,303018741;-0,612119784
ELAX_187;-0,39147761;-0,555762577
ELAX_188;-0,41745484;-0,611582793
ELAX_192;-0,165529603;-0,087507628
ELAX_194;0,025167351;0,31697586
ELAX_195;-0,231264241;-0,421278603
ELAX_197;0,630310937;2,405876722
ELAX_198;1,351076736;5,158037421
ELAX_199;-0,242180746;-0,052365675
ELAX_201;0,058696814;0,865837903
ELAX_202;-0,426552915;-0,47823831
ELAX_207;-0,358105912;-0,158380974
ELAX_212;-0,00813149;0,105420379
ELAX_222;0,021850388;0,698732323
ELAX_227;3,370547562;10,59952749
ELAX_229;0,13414476;0,753086289
ELAX_230;-0,319159622;-0,409997387
ELAX_233;0,111807948;0,786373707
ELAX_235;-0,154154102;-0,038191909
ELAX_237;0,809495701;2,828380969
ELAX_239;-0,202167424;0,111991869
ELAX_240;0,028761537;0,458994803
ELAX_241;0,01761659;1,057603966
ELAX_243;-0,215176984;0,159527764
ELAX_244;0,00939384;0,380851578
ELAX_250;0,202655783;1,549207273
ELAX_251;-0,328497712;-0,212637745
ELAX_252;0,467135816;1,95268911
ELAX_261;-0,140104307;-0,171138552
ELAX_262;0,000393761;0,334960941
ELAX_265;0,282159103;1,048710987
ELAX_268;0,446533265;2,041587334
ELAX_27;0,045246159;0,753837968
ELAX_278;-0,542551144;-0,922348201
ELAX_279;-0,147021582;0,167745998
ELAX_28;-0,130495861;0,308541981
ELAX_288;1,066604052;3,522352875
ELAX_29;-0,083504105;0,117991153
ELAX_292;0,163287487;0,682793329
ELAX_295;-0,123317608;0,461122003
ELAX_298;0,23863993;1,536494226
ELAX_3;0,008985;0,391975493
ELAX_303;0,932416652;3,391071116
ELAX_305;0,279941053;1,46481933
ELAX_309;-0,024041178;0,459745099
ELAX_31;-0,645979563;-1,504949237
ELAX_311;0,213508314;1,064265893
ELAX_315;0,157823072;1,553867394
ELAX_316;-0,271486918;-0,213798624
ELAX_329;-0,119706438;0,659339815
ELAX_331;-0,055318056;0,351949931
ELAX_335;-0,435822012;-0,689470492
ELAX_336;-0,315820653;-0,295325089
ELAX_341;-0,111630032;-0,091177235
ELAX_344;-0,133333437;0,501594701
ELAX_345;-0,33859968;-0,025776518
ELAX_346;0,029763431;0,361610004
ELAX_348;-0,641856621;-1,570048478
ELAX_35;-0,602966141;-1,4113254
ELAX_350;-0,471735882;-0,471215711
ELAX_352;0,504223178;2,248414065
ELAX_353;-0,567991226;-1,364547877
ELAX_356;0,481606656;1,734362152
ELAX_366;-0,714156103;-1,877724996
ELAX_367;-0,230079463;-0,236622208
ELAX_368;-0,271607863;-0,018085122
ELAX_370;-0,551667124;-1,119760214
ELAX_371;-0,320493603;-0,413305141
ELAX_372;0,019296492;0,520341134
ELAX_373;-0,637094378;-1,514691718
ELAX_376;-0,461739166;-1,257068575
ELAX_377;-0,555678103;-0,747943516
ELAX_38;-0,388815621;-0,240613646
ELAX_383;-0,053053712;-0,041739859
ELAX_385;0,314445966;1,607583741
ELAX_387;-0,236525495;0,060956318
ELAX_388;-0,355857348;-0,190643023
ELAX_394;-0,232069278;0,11363542
ELAX_395;0,156065657;1,133640555
ELAX_399;-0,473199777;-0,60498299
ELAX_40;-0,314216131;-0,531237449
ELAX_401;-0,270398552;-0,532767099
ELAX_402;0,160362895;0,911087378
ELAX_407;-0,208176938;-0,057416457
ELAX_41;-0,37567407;-0,545538582
